Circuit Name,Active Spin Orbitals,Naive CX Count,Naive CX Depth,Pairwise CX Count,Pairwise CX Depth,Set CX Count,Set CX Depth,Set Compile Time
H2_P_sto3g,4,4,4,4,4,4,4,0.013672
H2_P_631g,8,836,794,530,432,264,215,0.231963
H4_P_sto3g,8,852,802,544,442,268,224,0.097572
LiH_P_sto3g,12,4956,4535,2970,2316,1929,1424,0.59317
NH_P_sto3g,12,4956,4535,2970,2316,1929,1424,0.771942
BeH2_P_sto3g,14,10174,9437,6128,4384,3723,2730,1.019522
CH2_P_sto3g,14,19806,18416,12016,8464,6521,4967,1.554091
H2O_P_sto3g,14,10054,9337,6058,4374,3567,2653,1.921968
H4_P_631g,16,30632,28139,18430,12076,8234,6334,2.560638
H8_P_sto3g,16,61160,56473,36714,23974,16820,13043,5.877545
NH3_P_sto3g,16,61160,56473,36714,23974,16820,13043,7.707062
C2_P_sto3g,20,38620,35614,22854,14594,12954,8927,6.003225
HCl_P_sto3g,20,77708,72178,46816,29248,25337,18128,6.993521
N2_P_sto3g,20,37772,34547,22238,14158,12044,8673,3.566689
HNO_P_sto3g,22,173142,161162,104318,62596,55853,38566,29.715397
LiH_P_631g,22,127438,119510,77094,46582,42286,29767,24.38886
NH_P_631g,22,101030,94443,60492,36244,33007,22527,11.121071
H2CO_P_sto3g,24,245296,229793,148124,86385,78947,54216,48.875779
BeH2_P_631g,26,216618,203194,129422,73091,66813,44979,32.119023
CH2_P_631g,26,427930,401071,255308,140858,121683,84913,62.428961
H2O_P_631g,26,215882,201701,129560,72433,66997,45403,43.140423
C2H4_P_sto3g,28,495996,471837,291524,159960,132789,96781,92.381627
CO2_P_sto3g,30,394902,372025,234484,126001,117276,77555,54.45999
HCl_P_631g,30,625518,588672,371436,197013,181708,123202,112.872242